model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
"2br02b_comet,bleurt,levenshtein_80",234,0.5256410256410257,0.4845360824742268,0.8952380952380953,0.6287625418060201,0.0098,94,29,100,11
"2br02b_comet,bleurt,levenshtein_85",234,0.5170940170940171,0.4803921568627451,0.9333333333333333,0.6343042071197411,0.008,98,23,106,7
"2br02b_comet,bleurt,levenshtein_90",234,0.5,0.4719626168224299,0.9619047619047619,0.6332288401253918,0.016,101,16,113,4
"2br02b_comet,bleurt,levenshtein_95",234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0949,103,8,121,2
"2br02b_cosine,comet_5",234,0.5769230769230769,0.8,0.0761904761904762,0.1391304347826087,0.0229,8,127,2,97
"2br02b_cosine,comet_10",234,0.5726495726495726,0.6190476190476191,0.12380952380952381,0.20634920634920634,0.0722,13,121,8,92
"2br02b_cosine,comet_15",234,0.594017094017094,0.6470588235294118,0.20952380952380953,0.31654676258992803,0.008,22,117,12,83
"2br02b_cosine,comet_20",234,0.5641025641025641,0.5319148936170213,0.23809523809523808,0.32894736842105265,0.1241,25,107,22,80
"2br02b_cosine,comet_25",234,0.594017094017094,0.5833333333333334,0.3333333333333333,0.42424242424242425,0.0103,35,104,25,70
"2br02b_cosine,comet_30",234,0.5897435897435898,0.5633802816901409,0.38095238095238093,0.45454545454545453,0.0115,40,98,31,65
"2br02b_cosine,comet_40",234,0.594017094017094,0.5531914893617021,0.49523809523809526,0.5226130653266332,0.0053,52,87,42,53
"2br02b_cosine,comet_50",234,0.5683760683760684,0.5166666666666667,0.5904761904761905,0.5511111111111111,0.0197,62,71,58,43
"2br02b_cosine,comet_60",234,0.5512820512820513,0.5,0.6952380952380952,0.5816733067729084,0.0265,73,56,73,32
"2br02b_cosine,comet_70",234,0.5341880341880342,0.4883720930232558,0.8,0.6064981949458483,0.0297,84,41,88,21
"2br02b_cosine,comet_75",234,0.5427350427350427,0.4945652173913043,0.8666666666666667,0.629757785467128,0.0046,91,36,93,14
"2br02b_cosine,comet_80",234,0.5341880341880342,0.4896907216494845,0.9047619047619048,0.6354515050167224,0.0029,95,30,99,10
"2br02b_cosine,comet_85",234,0.5170940170940171,0.4803921568627451,0.9333333333333333,0.6343042071197411,0.0074,98,23,106,7
"2br02b_cosine,comet_90",234,0.49145299145299143,0.4672897196261682,0.9523809523809523,0.6269592476489029,0.0506,100,15,114,5
"2br02b_cosine,comet_95",234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0959,103,8,121,2
"2br02b_cosine,bleurt_5",234,0.5683760683760684,0.7,0.06666666666666667,0.12173913043478261,0.0901,7,126,3,98
"2br02b_cosine,bleurt_10",234,0.5811965811965812,0.6521739130434783,0.14285714285714285,0.234375,0.0327,15,121,8,90
"2br02b_cosine,bleurt_15",234,0.5641025641025641,0.5428571428571428,0.18095238095238095,0.2714285714285714,0.1477,19,113,16,86
"2br02b_cosine,bleurt_20",234,0.5598290598290598,0.5208333333333334,0.23809523809523808,0.32679738562091504,0.1619,25,106,23,80
"2br02b_cosine,bleurt_25",234,0.5683760683760684,0.532258064516129,0.3142857142857143,0.39520958083832336,0.0739,33,100,29,72
"2br02b_cosine,bleurt_30",234,0.5811965811965812,0.547945205479452,0.38095238095238093,0.449438202247191,0.0239,40,96,33,65
"2br02b_cosine,bleurt_40",234,0.5769230769230769,0.53125,0.4857142857142857,0.5074626865671642,0.023,51,84,45,54
"2br02b_cosine,bleurt_50",234,0.5683760683760684,0.5166666666666667,0.5904761904761905,0.5511111111111111,0.0207,62,71,58,43
"2br02b_cosine,bleurt_60",234,0.5512820512820513,0.5,0.6952380952380952,0.5816733067729084,0.026,73,56,73,32
"2br02b_cosine,bleurt_70",234,0.5427350427350427,0.49404761904761907,0.7904761904761904,0.608058608058608,0.018,83,44,85,22
"2br02b_cosine,bleurt_75",234,0.5341880341880342,0.4891304347826087,0.8571428571428571,0.6228373702422145,0.0112,90,35,94,15
"2br02b_cosine,bleurt_80",234,0.5,0.4690721649484536,0.8666666666666667,0.6086956521739131,0.1103,91,26,103,14
"2br02b_cosine,bleurt_85",234,0.5085470085470085,0.47549019607843135,0.9238095238095239,0.627831715210356,0.0238,97,22,107,8
"2br02b_cosine,bleurt_90",234,0.4829059829059829,0.46261682242990654,0.9428571428571428,0.6206896551724138,0.1185,99,14,115,6
"2br02b_cosine,bleurt_95",234,0.4658119658119658,0.45535714285714285,0.9714285714285714,0.6200607902735562,0.2598,102,7,122,3
"2br02b_cosine,levenshtein_5",234,0.5598290598290598,0.6,0.05714285714285714,0.10434782608695652,0.2473,6,125,4,99
"2br02b_cosine,levenshtein_10",234,0.5683760683760684,0.6,0.11428571428571428,0.192,0.1155,12,121,8,93
"2br02b_cosine,levenshtein_15",234,0.5470085470085471,0.4838709677419355,0.14285714285714285,0.22058823529411764,0.4068,15,113,16,90
"2br02b_cosine,levenshtein_20",234,0.5427350427350427,0.47619047619047616,0.19047619047619047,0.272108843537415,0.4068,20,107,22,85
"2br02b_cosine,levenshtein_25",234,0.5299145299145299,0.4528301886792453,0.22857142857142856,0.3037974683544304,0.5343,24,100,29,81
"2br02b_cosine,levenshtein_30",234,0.5256410256410257,0.453125,0.2761904761904762,0.3431952662721893,0.5256,29,94,35,76
"2br02b_cosine,levenshtein_40",234,0.5299145299145299,0.47191011235955055,0.4,0.4329896907216495,0.3346,42,82,47,63
"2br02b_cosine,levenshtein_50",234,0.5341880341880342,0.4827586206896552,0.5333333333333333,0.5067873303167421,0.178,56,69,60,49
"2br02b_cosine,levenshtein_60",234,0.5341880341880342,0.4855072463768116,0.638095238095238,0.551440329218107,0.1075,67,58,71,38
"2br02b_cosine,levenshtein_70",234,0.48717948717948717,0.4539877300613497,0.7047619047619048,0.5522388059701493,0.4558,74,40,89,31
"2br02b_cosine,levenshtein_75",234,0.5,0.4659090909090909,0.780952380952381,0.5836298932384342,0.2214,82,35,94,23
"2br02b_cosine,levenshtein_80",234,0.5042735042735043,0.4702702702702703,0.8285714285714286,0.6,0.1265,87,31,98,18
"2br02b_cosine,levenshtein_85",234,0.5042735042735043,0.4723618090452261,0.8952380952380953,0.618421052631579,0.06,94,24,105,11
"2br02b_cosine,levenshtein_90",234,0.49145299145299143,0.4669811320754717,0.9428571428571428,0.6246056782334385,0.065,99,16,113,6
"2br02b_cosine,levenshtein_95",234,0.4829059829059829,0.4642857142857143,0.9904761904761905,0.6322188449848024,0.0208,104,9,120,1
"2br02b_comet,bleurt,cosine,levenshtein_5",234,0.5769230769230769,0.8,0.0761904761904762,0.1391304347826087,0.0229,8,127,2,97
"2br02b_comet,bleurt,cosine,levenshtein_10",234,0.5811965811965812,0.6521739130434783,0.14285714285714285,0.234375,0.0289,15,121,8,90
"2br02b_comet,bleurt,cosine,levenshtein_15",234,0.594017094017094,0.6388888888888888,0.21904761904761905,0.3262411347517731,0.0076,23,116,13,82
"2br02b_comet,bleurt,cosine,levenshtein_20",234,0.5897435897435898,0.5882352941176471,0.2857142857142857,0.38461538461538464,0.0138,30,108,21,75
"2br02b_comet,bleurt,cosine,levenshtein_25",234,0.5769230769230769,0.5483870967741935,0.3238095238095238,0.40718562874251496,0.04,34,101,28,71
"2br02b_comet,bleurt,cosine,levenshtein_30",234,0.5854700854700855,0.5555555555555556,0.38095238095238093,0.4519774011299435,0.0184,40,97,32,65
"2br02b_comet,bleurt,cosine,levenshtein_40",234,0.6025641025641025,0.5612244897959183,0.5238095238095238,0.541871921182266,0.0017,55,86,43,50
"2br02b_comet,bleurt,cosine,levenshtein_50",234,0.5641025641025641,0.5121951219512195,0.6,0.5526315789473685,0.0251,63,69,60,42
"2br02b_comet,bleurt,cosine,levenshtein_60",234,0.5427350427350427,0.4931506849315068,0.6857142857142857,0.5737051792828686,0.0513,72,55,74,33
"2br02b_comet,bleurt,cosine,levenshtein_70",234,0.5427350427350427,0.4941860465116279,0.8095238095238095,0.6137184115523465,0.0126,85,42,87,20
"2br02b_comet,bleurt,cosine,levenshtein_75",234,0.5170940170940171,0.4782608695652174,0.8380952380952381,0.6089965397923875,0.0519,88,33,96,17
"2br02b_comet,bleurt,cosine,levenshtein_80",234,0.5341880341880342,0.4896907216494845,0.9047619047619048,0.6354515050167224,0.0034,95,30,99,10
"2br02b_comet,bleurt,cosine,levenshtein_85",234,0.5256410256410257,0.4852941176470588,0.9428571428571428,0.6407766990291263,0.0018,99,24,105,6
"2br02b_comet,bleurt,cosine,levenshtein_90",234,0.5,0.4719626168224299,0.9619047619047619,0.6332288401253918,0.0155,101,16,113,4
"2br02b_comet,bleurt,cosine,levenshtein_95",234,0.47435897435897434,0.45982142857142855,0.9809523809523809,0.6261398176291794,0.0986,103,8,121,2
"2br02b_comet,bleurt,cosine_5",234,0.5683760683760684,0.7,0.06666666666666667,0.12173913043478261,0.0901,7,126,3,98
"2br02b_comet,bleurt,cosine_10",234,0.5897435897435898,0.6956521739130435,0.1523809523809524,0.25,0.0089,16,122,7,89
"2br02b_comet,bleurt,cosine_15",234,0.6153846153846154,0.6923076923076923,0.2571428571428571,0.375,0.0006,27,117,12,78
"2br02b_comet,bleurt,cosine_20",234,0.6068376068376068,0.6274509803921569,0.3047619047619048,0.41025641025641024,0.0018,32,110,19,73
"2br02b_comet,bleurt,cosine_25",234,0.5769230769230769,0.5483870967741935,0.3238095238095238,0.40718562874251496,0.0386,34,101,28,71
"2br02b_comet,bleurt,cosine_30",234,0.594017094017094,0.5675675675675675,0.4,0.4692737430167598,0.0059,42,97,32,63
"2br02b_comet,bleurt,cosine_40",234,0.5982905982905983,0.5555555555555556,0.5238095238095238,0.5392156862745098,0.0028,55,85,44,50
"2br02b_comet,bleurt,cosine_50",234,0.5769230769230769,0.5245901639344263,0.6095238095238096,0.5638766519823789,0.0109,64,71,58,41
"2br02b_comet,bleurt,cosine_60",234,0.5555555555555556,0.5033557046979866,0.7142857142857143,0.5905511811023622,0.0168,75,55,74,30
"2br02b_comet,bleurt,cosine_70",234,0.5555555555555556,0.5028571428571429,0.8380952380952381,0.6285714285714286,0.0027,88,42,87,17
"2br02b_comet,bleurt,cosine_75",234,0.5470085470085471,0.4972972972972973,0.8761904761904762,0.6344827586206897,0.0023,92,36,93,13
"2br02b_comet,bleurt,cosine_80",234,0.5512820512820513,0.5,0.9238095238095239,0.6488294314381271,0.0001,97,32,97,8
"2br02b_comet,bleurt,cosine_85",234,0.5085470085470085,0.47549019607843135,0.9238095238095239,0.627831715210356,0.0212,97,22,107,8
"2br02b_comet,bleurt,cosine_90",234,0.4829059829059829,0.46261682242990654,0.9428571428571428,0.6206896551724138,0.1175,99,14,115,6
"2br02b_comet,bleurt,cosine_95",234,0.4658119658119658,0.45535714285714285,0.9714285714285714,0.6200607902735562,0.2593,102,7,122,3
