model,matched_samples,accuracy,precision,recall,f1_score,perm_test_pvalue,true_positives,true_negatives,false_positives,false_negatives
all_creative,234,0.44871794871794873,0.44871794871794873,1.0,0.6194690265486725,1.0,105,0,129,0
random_1,234,0.47863247863247865,0.42735042735042733,0.47619047619047616,0.45045045045045046,0.7879,50,62,67,55
random_2,234,0.5256410256410257,0.47580645161290325,0.5619047619047619,0.5152838427947598,0.2303,59,64,65,46
random_3,234,0.4700854700854701,0.4188034188034188,0.4666666666666667,0.44144144144144143,0.8547,49,61,68,56
random_4,234,0.5256410256410257,0.4732142857142857,0.5047619047619047,0.48847926267281105,0.281,53,70,59,52
random_5,234,0.5128205128205128,0.4634146341463415,0.5428571428571428,0.5,0.3679,57,63,66,48
